Instruction,Input,Response,Metadata
Calculate monthly and aggregate totals for the previous year.,dim_cohort_signup_revenue.sql model,"WITH py_monthly AS (
  SELECT
  account_id,
  year,
  month,
  product,
  currency,
  date AS trailing_date,
  COALESCE(monthly_total, 0) AS trailing_total,
  SUM(monthly_total) OVER (PARTITION BY account_id, product, currency, month ORDER BY date ROWS UNBOUNDED PRECEDING) AS monthly_aggregate,
  SUM(monthly_total) OVER (PARTITION BY account_id, product, currency ORDER BY date ROWS UNBOUNDED PRECEDING) AS aggregate_total
  FROM base
);","SQL, dbt, Webconnex"
Join base and py_monthly tables to select the final results.,dim_cohort_signup_revenue.sql model,"SELECT
  b.*,
  m.trailing_date,
  m.aggregate_total,
  COALESCE(m.trailing_total, 0) AS trailing_total,
  COALESCE(m.monthly_aggregate, 0) AS monthly_aggregate
FROM base AS b
LEFT JOIN py_monthly AS m
ON b.account_id = m.account_id
AND b.product = m.product
AND b.currency = m.currency
AND b.month = m.month
AND b.year = m.year + 1;","SQL, dbt, Webconnex"
"Create a temporary table aggregating cohort signup account revenue with account, currency, and cohort_date granularity.",dim_cohort_signup_revenue.sql model,"WITH temp AS (
  SELECT
  cs.account_id,
  cs.account_name,
  cs.account_manager_id,
  cs.account_manager_name,
  cs.organization_id,
  cs.product,
  cs.currency,
  cs.revenue_cohort_date AS cohort_date,
  cs.digital_marketing_spend_monthly,
  date_part(MONTH, date_trunc('month', cs.date_created)) AS month,
  date_part(YEAR, date_trunc('year', cs.date_created)) AS year,
  date_trunc('month', cs.date_created) AS date,
  SUM(cs.total) AS monthly_total
  FROM {{ ref('cohort_signup_account_revenue') }} AS cs
  WHERE cs.source IN ('invoice', 'app_fee_adyen', 'app_fee_wepay')
  GROUP BY
  cs.account_id,
  cs.account_name,
  cs.account_manager_id,
  cs.account_manager_name,
  cs.organization_id,
  cs.product,
  cs.currency,
  DATE_TRUNC('year', cs.date_created),
  DATE_TRUNC('month', cs.date_created),
  cs.revenue_cohort_date,
  cs.digital_marketing_spend_monthly
);","SQL, dbt, Webconnex"
Generate a table 'x' with the minimum and maximum dates from the temp CTE.,dim_cohort_signup_revenue.sql model,"WITH x AS (
  SELECT
  r.account_id,
  r.product,
  r.account_name,
  r.account_manager_id,
  r.account_manager_name,
  r.cohort_date,
  r.organization_id,
  r.currency,
  0 AS monthly_total,
  0 AS ytd_total,
  MIN(r.date) AS min_date,
  MAX(r.date) AS max_date
  FROM temp AS r
  GROUP BY
  r.account_id,
  r.product,
  r.account_name,
  r.account_manager_id,
  r.account_manager_name,
  r.cohort_date,
  r.organization_id,
  r.currency
);","SQL, dbt, Webconnex"
Create 'account_dates' table by cross joining dates with accounts.,dim_cohort_signup_revenue.sql model,"WITH account_dates AS (
  SELECT
  random() AS id,
  x.account_id,
  d.full_date,
  x.min_date,
  x.cohort_date,
  x.account_name,
  x.account_manager_id,
  x.account_manager_name,
  x.product,
  x.organization_id,
  x.currency
  FROM x
  CROSS JOIN {{ ref('dim_dates') }} AS d
  WHERE
  d.full_date >= x.min_date
  AND d.month_day_number = 1
  AND d.full_date <= CURRENT_DATE + INTERVAL '1 month'
);","SQL, dbt, Webconnex"
Generate a base table by joining account_dates and temp tables.,dim_cohort_signup_revenue.sql model,"WITH base AS (
  SELECT
  a.id,
  a.account_id,
  a.account_name,
  a.account_manager_id,
  a.account_manager_name,
  a.organization_id,
  a.product,
  a.currency,
  cast(extract(MONTH FROM a.full_date) AS SMALLINT) AS month,
  cast(extract(YEAR FROM a.full_date) AS SMALLINT) AS year,
  a.full_date AS date,
  a.cohort_date,
  r.digital_marketing_spend_monthly,
  COALESCE(r.monthly_total, 0) AS monthly_total
  FROM account_dates AS a
  LEFT JOIN temp AS r
  ON a.account_id = r.account_id
  AND a.full_date = r.date
  AND a.product = r.product
  AND a.currency = r.currency
);","SQL, dbt, Webconnex"
Calculate monthly and aggregate totals for the previous year.,dim_cohort_signup_revenue.sql model,"WITH py_monthly AS (
  SELECT
  account_id,
  year,
  month,
  product,
  currency,
  date AS trailing_date,
  COALESCE(monthly_total, 0) AS trailing_total,
  SUM(monthly_total) OVER (PARTITION BY account_id, product, currency, month ORDER BY date ROWS UNBOUNDED PRECEDING) AS monthly_aggregate,
  SUM(monthly_total) OVER (PARTITION BY account_id, product, currency ORDER BY date ROWS UNBOUNDED PRECEDING) AS aggregate_total
  FROM base
);","SQL, dbt, Webconnex"
Join base and py_monthly tables to select the final results.,dim_cohort_signup_revenue.sql model,"SELECT
  b.*,
  m.trailing_date,
  m.aggregate_total,
  COALESCE(m.trailing_total, 0) AS trailing_total,
  COALESCE(m.monthly_aggregate, 0) AS monthly_aggregate
FROM base AS b
LEFT JOIN py_monthly AS m
ON b.account_id = m.account_id
AND b.product = m.product
AND b.currency = m.currency
AND b.month = m.month
AND b.year = m.year + 1;","SQL, dbt, Webconnex"
Calculate the maximum digital marketing spend and account signups monthly for each product and cohort_date.,dim_cohort_signup_account_revenue.sql model,"SELECT
  product,
  cohort_date,
  MAX(digital_marketing_spend_monthly) AS digital_marketing_spend_monthly,
  MAX(account_signups_monthly) :: INT AS account_signups_monthly
FROM {{ ref('cohort_signup_account_revenue') }}
WHERE
  attribution_type NOT IN ('outside sales', 'enterprise')
  AND organization_id = 1
  AND cohort_date > '2019-01-01'
GROUP BY product, cohort_date;","SQL, dbt, Webconnex"
Count the cumulative customers for each product and cohort_date.,dim_cohort_signup_account_revenue.sql model,"SELECT
  product,
  cohort_date,
  CAST(COUNT(DISTINCT account_id) AS numeric) :: INT AS cum_cus_count
FROM {{ ref('cohort_signup_account_revenue') }}
WHERE
  attribution_type NOT IN ('outside sales', 'enterprise')
  AND organization_id = 1
  AND cohort_date > '2019-01-01'
GROUP BY product, cohort_date;","SQL, dbt, Webconnex"
Calculate converted signups percentage for each product and cohort_date.,dim_cohort_signup_account_revenue.sql model,"SELECT
  product,
  cohort_date,
  ROUND(cum_cus_count / MAX(account_signups_monthly)::numeric * 100) :: INT AS converted_signups
FROM {{ ref('cohort_signup_account_revenue') }}
WHERE
  attribution_type NOT IN ('outside sales', 'enterprise')
  AND organization_id = 1
  AND cohort_date > '2019-01-01'
GROUP BY product, cohort_date;","SQL, dbt, Webconnex"
Calculate the customer acquisition cost (CAC) for each product and cohort_date.,dim_cohort_signup_account_revenue.sql model,"SELECT
  product,
  cohort_date,
  ROUND(MAX(digital_marketing_spend_monthly) / cum_cus_count) :: INT AS cac
FROM {{ ref('cohort_signup_account_revenue') }}
WHERE
  attribution_type NOT IN ('outside sales', 'enterprise')
  AND organization_id = 1
  AND cohort_date > '2019-01-01'
GROUP BY product, cohort_date;","SQL, dbt, Webconnex"
Calculate the payback percentage for each product and cohort_date.,dim_cohort_signup_account_revenue.sql model,"SELECT
  product,
  cohort_date,
  ROUND(SUM(total) / MAX(digital_marketing_spend_monthly) * 100) :: INT AS payback
FROM {{ ref('cohort_signup_account_revenue') }}
WHERE
  attribution_type NOT IN ('outside sales', 'enterprise')
  AND organization_id = 1
  AND cohort_date > '2019-01-01'
GROUP BY product, cohort_date;","SQL, dbt, Webconnex"
Calculate cumulative customer count for each month since cohort_date for each product and cohort_date.,dim_cohort_signup_account_revenue.sql model,"{% set now = modules.datetime.datetime.now() %}
{% set reference_dt = modules.datetime.datetime(2019, 1, 1) %}
{% set num_months = ( (now.year - reference_dt.year)*12 + now.month - reference_dt.month ) %}

SELECT
  product,
  cohort_date,
  {% for month_offset in range(0, num_months) %}
  COUNT(DISTINCT
  CASE
  WHEN DATEDIFF('month', cohort_date, date_created) <= {{ month_offset }}
  AND DATEADD('month', {{ month_offset }}, cohort_date) <= DATE_TRUNC('month', GETDATE())
  THEN account_id
  END
  ) :: INT AS ccc_at_month_{{ month_offset + 1 }}{% if not loop.last %},
  {% endif %}
  {% endfor %}
FROM {{ ref('cohort_signup_account_revenue') }}
WHERE
  attribution_type NOT IN ('outside sales', 'enterprise')
  AND organization_id = 1
  AND cohort_date > '2019-01-01'
GROUP BY product, cohort_date;","SQL, dbt, Webconnex"
Calculate the maximum digital marketing spend and account signups monthly for each product and cohort_date.,dim_cohort_signup_account_revenue.sql model,"SELECT
  product,
  cohort_date,
  MAX(digital_marketing_spend_monthly) AS digital_marketing_spend_monthly,
  MAX(account_signups_monthly) :: INT AS account_signups_monthly
FROM {{ ref('cohort_signup_account_revenue') }}
WHERE
  attribution_type NOT IN ('outside sales', 'enterprise')
  AND organization_id = 1
  AND cohort_date > '2019-01-01'
GROUP BY product, cohort_date;","SQL, dbt, Webconnex"
Count the cumulative customers for each product and cohort_date.,dim_cohort_signup_account_revenue.sql model,"SELECT
  product,
  cohort_date,
  CAST(COUNT(DISTINCT account_id) AS numeric) :: INT AS cum_cus_count
FROM {{ ref('cohort_signup_account_revenue') }}
WHERE
  attribution_type NOT IN ('outside sales', 'enterprise')
  AND organization_id = 1
  AND cohort_date > '2019-01-01'
GROUP BY product, cohort_date;","SQL, dbt, Webconnex"
Calculate converted signups percentage for each product and cohort_date.,dim_cohort_signup_account_revenue.sql model,"SELECT
  product,
  cohort_date,
  ROUND(cum_cus_count / MAX(account_signups_monthly)::numeric * 100) :: INT AS converted_signups
FROM {{ ref('cohort_signup_account_revenue') }}
WHERE
  attribution_type NOT IN ('outside sales', 'enterprise')
  AND organization_id = 1
  AND cohort_date > '2019-01-01'
GROUP BY product, cohort_date;","SQL, dbt, Webconnex"
Calculate the customer acquisition cost (CAC) for each product and cohort_date.,dim_cohort_signup_account_revenue.sql model,"SELECT
  product,
  cohort_date,
  ROUND(MAX(digital_marketing_spend_monthly) / cum_cus_count) :: INT AS cac
FROM {{ ref('cohort_signup_account_revenue') }}
WHERE
  attribution_type NOT IN ('outside sales', 'enterprise')
  AND organization_id = 1
  AND cohort_date > '2019-01-01'
GROUP BY product, cohort_date;","SQL, dbt, Webconnex"
Calculate the payback percentage for each product and cohort_date.,dim_cohort_signup_account_revenue.sql model,"SELECT
  product,
  cohort_date,
  ROUND(SUM(total) / MAX(digital_marketing_spend_monthly) * 100) :: INT AS payback
FROM {{ ref('cohort_signup_account_revenue') }}
WHERE
  attribution_type NOT IN ('outside sales', 'enterprise')
  AND organization_id = 1
  AND cohort_date > '2019-01-01'
GROUP BY product, cohort_date;","SQL, dbt, Webconnex"
Calculate cumulative customer count for each month since cohort_date for each product and cohort_date.,dim_cohort_signup_account_revenue.sql model,"{% set now = modules.datetime.datetime.now() %}
{% set reference_dt = modules.datetime.datetime(2019, 1, 1) %}
{% set num_months = ( (now.year - reference_dt.year)*12 + now.month - reference_dt.month ) %}

SELECT
  product,
  cohort_date,
  {% for month_offset in range(0, num_months) %}
  COUNT(DISTINCT
  CASE
  WHEN DATEDIFF('month', cohort_date, date_created) <= {{ month_offset }}
  AND DATEADD('month', {{ month_offset }}, cohort_date) <= DATE_TRUNC('month', GETDATE())
  THEN account_id
  END
  ) :: INT AS ccc_at_month_{{ month_offset + 1 }}{% if not loop.last %},
  {% endif %}
  {% endfor %}
FROM {{ ref('cohort_signup_account_revenue') }}
WHERE
  attribution_type NOT IN ('outside sales', 'enterprise')
  AND organization_id = 1
  AND cohort_date > '2019-01-01'
GROUP BY product, cohort_date;","SQL, dbt, Webconnex"
Calculate the maximum digital marketing spend and account signups monthly for each product and cohort_date.,dim_cohort_signup_account_revenue.sql model,"SELECT
  product,
  cohort_date,
  MAX(digital_marketing_spend_monthly) AS digital_marketing_spend_monthly,
  MAX(account_signups_monthly) :: INT AS account_signups_monthly
FROM {{ ref('cohort_signup_account_revenue') }}
WHERE
  attribution_type NOT IN ('outside sales', 'enterprise')
  AND organization_id = 1
  AND cohort_date > '2019-01-01'
GROUP BY product, cohort_date;","SQL, dbt, Webconnex"
Count the cumulative customers for each product and cohort_date.,dim_cohort_signup_account_revenue.sql model,"SELECT
  product,
  cohort_date,
  CAST(COUNT(DISTINCT account_id) AS numeric) :: INT AS cum_cus_count
FROM {{ ref('cohort_signup_account_revenue') }}
WHERE
  attribution_type NOT IN ('outside sales', 'enterprise')
  AND organization_id = 1
  AND cohort_date > '2019-01-01'
GROUP BY product, cohort_date;","SQL, dbt, Webconnex"
Calculate converted signups percentage for each product and cohort_date.,dim_cohort_signup_account_revenue.sql model,"SELECT
  product,
  cohort_date,
  ROUND(cum_cus_count / MAX(account_signups_monthly)::numeric * 100) :: INT AS converted_signups
FROM {{ ref('cohort_signup_account_revenue') }}
WHERE
  attribution_type NOT IN ('outside sales', 'enterprise')
  AND organization_id = 1
  AND cohort_date > '2019-01-01'
GROUP BY product, cohort_date;","SQL, dbt, Webconnex"
Calculate the customer acquisition cost (CAC) for each product and cohort_date.,dim_cohort_signup_account_revenue.sql model,"SELECT
  product,
  cohort_date,
  ROUND(MAX(digital_marketing_spend_monthly) / cum_cus_count) :: INT AS cac
FROM {{ ref('cohort_signup_account_revenue') }}
WHERE
  attribution_type NOT IN ('outside sales', 'enterprise')
  AND organization_id = 1
  AND cohort_date > '2019-01-01'
GROUP BY product, cohort_date;","SQL, dbt, Webconnex"
Calculate the payback percentage for each product and cohort_date.,dim_cohort_signup_account_revenue.sql model,"SELECT
  product,
  cohort_date,
  ROUND(SUM(total) / MAX(digital_marketing_spend_monthly) * 100) :: INT AS payback
FROM {{ ref('cohort_signup_account_revenue') }}
WHERE
  attribution_type NOT IN ('outside sales', 'enterprise')
  AND organization_id = 1
  AND cohort_date > '2019-01-01'
GROUP BY product, cohort_date;","SQL, dbt, Webconnex"
Calculate cumulative customer count for each month since cohort_date for each product and cohort_date.,dim_cohort_signup_account_revenue.sql model,"{% set now = modules.datetime.datetime.now() %}
{% set reference_dt = modules.datetime.datetime(2019, 1, 1) %}
{% set num_months = ( (now.year - reference_dt.year)*12 + now.month - reference_dt.month ) %}

SELECT
  product,
  cohort_date,
  {% for month_offset in range(0, num_months) %}
  COUNT(DISTINCT
  CASE
  WHEN DATEDIFF('month', cohort_date, date_created) <= {{ month_offset }}
  AND DATEADD('month', {{ month_offset }}, cohort_date) <= DATE_TRUNC('month', GETDATE())
  THEN account_id
  END
  ) :: INT AS ccc_at_month_{{ month_offset + 1 }}{% if not loop.last %},
  {% endif %}
  {% endfor %}
FROM {{ ref('cohort_signup_account_revenue') }}
WHERE
  attribution_type NOT IN ('outside sales', 'enterprise')
  AND organization_id = 1
  AND cohort_date > '2019-01-01'
GROUP BY product, cohort_date;","SQL, dbt, Webconnex"
Calculate the maximum digital marketing spend and account signups monthly for each product and cohort_date.,dim_cohort_signup_account_revenue.sql model,"SELECT
  product,
  cohort_date,
  MAX(digital_marketing_spend_monthly) AS digital_marketing_spend_monthly,
  MAX(account_signups_monthly) :: INT AS account_signups_monthly
FROM {{ ref('cohort_signup_account_revenue') }}
WHERE
  attribution_type NOT IN ('outside sales', 'enterprise')
  AND organization_id = 1
  AND cohort_date > '2019-01-01'
GROUP BY product, cohort_date;","SQL, dbt, Webconnex"
Count the cumulative customers for each product and cohort_date.,dim_cohort_signup_account_revenue.sql model,"SELECT
  product,
  cohort_date,
  CAST(COUNT(DISTINCT account_id) AS numeric) :: INT AS cum_cus_count
FROM {{ ref('cohort_signup_account_revenue') }}
WHERE
  attribution_type NOT IN ('outside sales', 'enterprise')
  AND organization_id = 1
  AND cohort_date > '2019-01-01'
GROUP BY product, cohort_date;","SQL, dbt, Webconnex"
Calculate converted signups percentage for each product and cohort_date.,dim_cohort_signup_account_revenue.sql model,"SELECT
  product,
  cohort_date,
  ROUND(cum_cus_count / MAX(account_signups_monthly)::numeric * 100) :: INT AS converted_signups
FROM {{ ref('cohort_signup_account_revenue') }}
WHERE
  attribution_type NOT IN ('outside sales', 'enterprise')
  AND organization_id = 1
  AND cohort_date > '2019-01-01'
GROUP BY product, cohort_date;","SQL, dbt, Webconnex"
Calculate the customer acquisition cost (CAC) for each product and cohort_date.,dim_cohort_signup_account_revenue.sql model,"SELECT
  product,
  cohort_date,
  ROUND(MAX(digital_marketing_spend_monthly) / cum_cus_count) :: INT AS cac
FROM {{ ref('cohort_signup_account_revenue') }}
WHERE
  attribution_type NOT IN ('outside sales', 'enterprise')
  AND organization_id = 1
  AND cohort_date > '2019-01-01'
GROUP BY product, cohort_date;","SQL, dbt, Webconnex"
Calculate the payback percentage for each product and cohort_date.,dim_cohort_signup_account_revenue.sql model,"SELECT
  product,
  cohort_date,
  ROUND(SUM(total) / MAX(digital_marketing_spend_monthly) * 100) :: INT AS payback
FROM {{ ref('cohort_signup_account_revenue') }}
WHERE
  attribution_type NOT IN ('outside sales', 'enterprise')
  AND organization_id = 1
  AND cohort_date > '2019-01-01'
GROUP BY product, cohort_date;","SQL, dbt, Webconnex"
Calculate cumulative customer count for each month since cohort_date for each product and cohort_date.,dim_cohort_signup_account_revenue.sql model,"{% set now = modules.datetime.datetime.now() %}
{% set reference_dt = modules.datetime.datetime(2019, 1, 1) %}
{% set num_months = ( (now.year - reference_dt.year)*12 + now.month - reference_dt.month ) %}

SELECT
  product,
  cohort_date,
  {% for month_offset in range(0, num_months) %}
  COUNT(DISTINCT
  CASE
  WHEN DATEDIFF('month', cohort_date, date_created) <= {{ month_offset }}
  AND DATEADD('month', {{ month_offset }}, cohort_date) <= DATE_TRUNC('month', GETDATE())
  THEN account_id
  END
  ) :: INT AS ccc_at_month_{{ month_offset + 1 }}{% if not loop.last %},
  {% endif %}
  {% endfor %}
FROM {{ ref('cohort_signup_account_revenue') }}
WHERE
  attribution_type NOT IN ('outside sales', 'enterprise')
  AND organization_id = 1
  AND cohort_date > '2019-01-01'
GROUP BY product, cohort_date;","SQL, dbt, Webconnex"
Calculate the maximum digital marketing spend and account signups monthly for each product and cohort_date.,dim_cohort_signup_account_revenue.sql model,"SELECT
  product,
  cohort_date,
  MAX(digital_marketing_spend_monthly) AS digital_marketing_spend_monthly,
  MAX(account_signups_monthly) :: INT AS account_signups_monthly
FROM {{ ref('cohort_signup_account_revenue') }}
WHERE
  attribution_type NOT IN ('outside sales', 'enterprise')
  AND organization_id = 1
  AND cohort_date > '2019-01-01'
GROUP BY product, cohort_date;","SQL, dbt, Webconnex"
Count the cumulative customers for each product and cohort_date.,dim_cohort_signup_account_revenue.sql model,"SELECT
  product,
  cohort_date,
  CAST(COUNT(DISTINCT account_id) AS numeric) :: INT AS cum_cus_count
FROM {{ ref('cohort_signup_account_revenue') }}
WHERE
  attribution_type NOT IN ('outside sales', 'enterprise')
  AND organization_id = 1
  AND cohort_date > '2019-01-01'
GROUP BY product, cohort_date;","SQL, dbt, Webconnex"
Calculate converted signups percentage for each product and cohort_date.,dim_cohort_signup_account_revenue.sql model,"SELECT
  product,
  cohort_date,
  ROUND(cum_cus_count / MAX(account_signups_monthly)::numeric * 100) :: INT AS converted_signups
FROM {{ ref('cohort_signup_account_revenue') }}
WHERE
  attribution_type NOT IN ('outside sales', 'enterprise')
  AND organization_id = 1
  AND cohort_date > '2019-01-01'
GROUP BY product, cohort_date;","SQL, dbt, Webconnex"
Calculate the customer acquisition cost (CAC) for each product and cohort_date.,dim_cohort_signup_account_revenue.sql model,"SELECT
  product,
  cohort_date,
  ROUND(MAX(digital_marketing_spend_monthly) / cum_cus_count) :: INT AS cac
FROM {{ ref('cohort_signup_account_revenue') }}
WHERE
  attribution_type NOT IN ('outside sales', 'enterprise')
  AND organization_id = 1
  AND cohort_date > '2019-01-01'
GROUP BY product, cohort_date;","SQL, dbt, Webconnex"
Calculate the payback percentage for each product and cohort_date.,dim_cohort_signup_account_revenue.sql model,"SELECT
  product,
  cohort_date,
  ROUND(SUM(total) / MAX(digital_marketing_spend_monthly) * 100) :: INT AS payback
FROM {{ ref('cohort_signup_account_revenue') }}
WHERE
  attribution_type NOT IN ('outside sales', 'enterprise')
  AND organization_id = 1
  AND cohort_date > '2019-01-01'
GROUP BY product, cohort_date;","SQL, dbt, Webconnex"
Calculate cumulative customer count for each month since cohort_date for each product and cohort_date.,dim_cohort_signup_account_revenue.sql model,"{% set now = modules.datetime.datetime.now() %}
{% set reference_dt = modules.datetime.datetime(2019, 1, 1) %}
{% set num_months = ( (now.year - reference_dt.year)*12 + now.month - reference_dt.month ) %}

SELECT
  product,
  cohort_date,
  {% for month_offset in range(0, num_months) %}
  COUNT(DISTINCT
  CASE
  WHEN DATEDIFF('month', cohort_date, date_created) <= {{ month_offset }}
  AND DATEADD('month', {{ month_offset }}, cohort_date) <= DATE_TRUNC('month', GETDATE())
  THEN account_id
  END
  ) :: INT AS ccc_at_month_{{ month_offset + 1 }}{% if not loop.last %},
  {% endif %}
  {% endfor %}
FROM {{ ref('cohort_signup_account_revenue') }}
WHERE
  attribution_type NOT IN ('outside sales', 'enterprise')
  AND organization_id = 1
  AND cohort_date > '2019-01-01'
GROUP BY product, cohort_date;","SQL, dbt, Webconnex"
Create a CTE to calculate the year-to-date Adyen transaction volume for each account.,dim_adyen_transactions.sql model,"WITH adyen_transactions AS (
  SELECT
  ma.created_at AS gateway_date_created,
  a.id AS account_id,
  a.name AS account_name,
  SUM(CASE
  WHEN pe.status = 'REFUNDED' THEN -pe.amount
  WHEN pe.status = 'SETTLED' THEN pe.amount
  ELSE 0
  END) AS ytd_adyen_volume
  FROM
  {{ source('payments', 'payment_event') }} AS pe
  INNER JOIN
  {{ source('payments', 'merchant_account') }} AS ma
  ON pe.merchantaccountid = ma.id
  INNER JOIN
  {{ ref('dim_account') }} AS a
  ON SPLIT_PART(pe.tenant_id, 'webconnex-', 2)::VARCHAR = a.id
  WHERE
  pe.status IN ('REFUNDED', 'SETTLED')
  AND pe.type IN ('CAPTURE', 'REFUND')
  GROUP BY
  ma.created_at,
  a.id,
  a.name
)
SELECT * FROM adyen_transactions;","SQL, dbt, Webconnex"
"Extract the gateway creation date, account ID, and account name from the Adyen transactions.",dim_adyen_transactions.sql model,"WITH adyen_transactions AS (
  SELECT
  ma.created_at AS gateway_date_created,
  a.id AS account_id,
  a.name AS account_name
  FROM
  {{ source('payments', 'payment_event') }} AS pe
  INNER JOIN
  {{ source('payments', 'merchant_account') }} AS ma
  ON pe.merchantaccountid = ma.id
  INNER JOIN
  {{ ref('dim_account') }} AS a
  ON SPLIT_PART(pe.tenant_id, 'webconnex-', 2)::VARCHAR = a.id
  WHERE
  pe.status IN ('REFUNDED', 'SETTLED')
  AND pe.type IN ('CAPTURE', 'REFUND')
  GROUP BY
  ma.created_at,
  a.id,
  a.name
)
SELECT * FROM adyen_transactions;","SQL, dbt, Webconnex"
"Calculate the year-to-date volume of Adyen transactions for each account, considering only settled and refunded transactions.",dim_adyen_transactions.sql model,"WITH adyen_transactions AS (
  SELECT
  a.id AS account_id,
  SUM(CASE
  WHEN pe.status = 'REFUNDED' THEN -pe.amount
  WHEN pe.status = 'SETTLED' THEN pe.amount
  ELSE 0
  END) AS ytd_adyen_volume
  FROM
  {{ source('payments', 'payment_event') }} AS pe
  INNER JOIN
  {{ source('payments', 'merchant_account') }} AS ma
  ON pe.merchantaccountid = ma.id
  INNER JOIN
  {{ ref('dim_account') }} AS a
  ON SPLIT_PART(pe.tenant_id, 'webconnex-', 2)::VARCHAR = a.id
  WHERE
  pe.status IN ('REFUNDED', 'SETTLED')
  AND pe.type IN ('CAPTURE', 'REFUND')
  GROUP BY
  a.id
)
SELECT * FROM adyen_transactions;","SQL, dbt, Webconnex"
Filter Adyen transactions to include only captures and refunds that are either settled or refunded.,dim_adyen_transactions.sql model,"WITH adyen_transactions AS (
  SELECT
  ma.created_at AS gateway_date_created,
  a.id AS account_id,
  a.name AS account_name,
  pe.status,
  pe.type,
  pe.amount
  FROM
  {{ source('payments', 'payment_event') }} AS pe
  INNER JOIN
  {{ source('payments', 'merchant_account') }} AS ma
  ON pe.merchantaccountid = ma.id
  INNER JOIN
  {{ ref('dim_account') }} AS a
  ON SPLIT_PART(pe.tenant_id, 'webconnex-', 2)::VARCHAR = a.id
  WHERE
  pe.status IN ('REFUNDED', 'SETTLED')
  AND pe.type IN ('CAPTURE', 'REFUND')
)
SELECT * FROM adyen_transactions;","SQL, dbt, Webconnex"
"Group Adyen transactions by gateway creation date, account ID, and account name to summarize the YTD volume.",dim_adyen_transactions.sql model,"WITH adyen_transactions AS (
  SELECT
  ma.created_at AS gateway_date_created,
  a.id AS account_id,
  a.name AS account_name,
  SUM(CASE
  WHEN pe.status = 'REFUNDED' THEN -pe.amount
  WHEN pe.status = 'SETTLED' THEN pe.amount
  ELSE 0
  END) AS ytd_adyen_volume
  FROM
  {{ source('payments', 'payment_event') }} AS pe
  INNER JOIN
  {{ source('payments', 'merchant_account') }} AS ma
  ON pe.merchantaccountid = ma.id
  INNER JOIN
  {{ ref('dim_account') }} AS a
  ON SPLIT_PART(pe.tenant_id, 'webconnex-', 2)::VARCHAR = a.id
  WHERE
  pe.status IN ('REFUNDED', 'SETTLED')
  AND pe.type IN ('CAPTURE', 'REFUND')
  GROUP BY
  ma.created_at,
  a.id,
  a.name
)
SELECT * FROM adyen_transactions;","SQL, dbt, Webconnex"
Create a CTE to calculate the year-to-date Adyen transaction volume for each account.,dim_adyen_transactions.sql model,"WITH adyen_transactions AS (
  SELECT
  ma.created_at AS gateway_date_created,
  a.id AS account_id,
  a.name AS account_name,
  SUM(CASE
  WHEN pe.status = 'REFUNDED' THEN -pe.amount
  WHEN pe.status = 'SETTLED' THEN pe.amount
  ELSE 0
  END) AS ytd_adyen_volume
  FROM
  {{ source('payments', 'payment_event') }} AS pe
  INNER JOIN
  {{ source('payments', 'merchant_account') }} AS ma
  ON pe.merchantaccountid = ma.id
  INNER JOIN
  {{ ref('dim_account') }} AS a
  ON SPLIT_PART(pe.tenant_id, 'webconnex-', 2)::VARCHAR = a.id
  WHERE
  pe.status IN ('REFUNDED', 'SETTLED')
  AND pe.type IN ('CAPTURE', 'REFUND')
  GROUP BY
  ma.created_at,
  a.id,
  a.name
)
SELECT * FROM adyen_transactions;","SQL, dbt, Webconnex"
"Extract the gateway creation date, account ID, and account name from the Adyen transactions.",dim_adyen_transactions.sql model,"WITH adyen_transactions AS (
  SELECT
  ma.created_at AS gateway_date_created,
  a.id AS account_id,
  a.name AS account_name
  FROM
  {{ source('payments', 'payment_event') }} AS pe
  INNER JOIN
  {{ source('payments', 'merchant_account') }} AS ma
  ON pe.merchantaccountid = ma.id
  INNER JOIN
  {{ ref('dim_account') }} AS a
  ON SPLIT_PART(pe.tenant_id, 'webconnex-', 2)::VARCHAR = a.id
  WHERE
  pe.status IN ('REFUNDED', 'SETTLED')
  AND pe.type IN ('CAPTURE', 'REFUND')
  GROUP BY
  ma.created_at,
  a.id,
  a.name
)
SELECT * FROM adyen_transactions;","SQL, dbt, Webconnex"
"Calculate the year-to-date volume of Adyen transactions for each account, considering only settled and refunded transactions.",dim_adyen_transactions.sql model,"WITH adyen_transactions AS (
  SELECT
  a.id AS account_id,
  SUM(CASE
  WHEN pe.status = 'REFUNDED' THEN -pe.amount
  WHEN pe.status = 'SETTLED' THEN pe.amount
  ELSE 0
  END) AS ytd_adyen_volume
  FROM
  {{ source('payments', 'payment_event') }} AS pe
  INNER JOIN
  {{ source('payments', 'merchant_account') }} AS ma
  ON pe.merchantaccountid = ma.id
  INNER JOIN
  {{ ref('dim_account') }} AS a
  ON SPLIT_PART(pe.tenant_id, 'webconnex-', 2)::VARCHAR = a.id
  WHERE
  pe.status IN ('REFUNDED', 'SETTLED')
  AND pe.type IN ('CAPTURE', 'REFUND')
  GROUP BY
  a.id
)
SELECT * FROM adyen_transactions;","SQL, dbt, Webconnex"
